Index,Output,Golden,input_text,output_text,label_space,label_verbalizer,verbalized_label
1455,B,D,Determine which option can be inferred from the given Sentence.  Sentence: Iraq sexual assault Tracy BaArker Tracy Barker was held against her will [two] times kept in a living container and food brought to her the first time when she reported her supervisor abusing [her] and the Iraqi women the second time when she was almost raped by State Department Ali employee after being there 12 months and abused does n't she deserve justice ? Options: A. [her] has the age [two] B. [her] has birthday on [two] C. [her] died in the date [two] D. [her] has no known relations to [two]  Which option can be inferred from the given Sentence? Option:,D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
1456,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: Other defendants also brought to the court together with Wen Tuesday included his wife Zhou Xiaoya and three senior former Chongqing policemen , [Huang Daiqiang] , Zhao Liming and [Chen Tao] . Options: A. [Chen Tao] is the identity/pronoun of [Huang Daiqiang] B. [Chen Tao] and [Huang Daiqiang] are the same person C. [Chen Tao] is the parent of [Huang Daiqiang] D. [Chen Tao] is the spouse of [Huang Daiqiang] E. [Chen Tao] is the siblings of [Huang Daiqiang] F. [Chen Tao] is the other family member of [Huang Daiqiang] G. [Chen Tao] has the parent [Huang Daiqiang] H. [Chen Tao] has no known relations to [Huang Daiqiang]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1457,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: Zhao Peng , Zhao Xuri , Hao Junmin , Han Peng , Liu Jianye , Rong Hao , Yang Hao , Yu Hai , Zeng Cheng , [Du Wei] , [Chen Tao] . Options: A. [Chen Tao] is the identity/pronoun of [Du Wei] B. [Chen Tao] and [Du Wei] are the same person C. [Chen Tao] is the parent of [Du Wei] D. [Chen Tao] is the spouse of [Du Wei] E. [Chen Tao] is the siblings of [Du Wei] F. [Chen Tao] is the other family member of [Du Wei] G. [Chen Tao] has the parent [Du Wei] H. [Chen Tao] has no known relations to [Du Wei]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1458,B,C,Determine which option can be inferred from the given Sentence.  Sentence: Herold 's attorney has called the [attack] work-related -- Nash worked for Herold and the animal played a promotional role in Herold 's tow-truck business -- and said [her] family 's case should be treated like a workers ' compensation claim . Options: A. [her] is convicted of [attack] B. [her] died because of [attack] C. [her] has no known relations to [attack]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'per:charges', 'B': 'per:cause_of_death', 'C': 'no_relation'}",no_relation
1459,B,H,"Determine which option can be inferred from the given Sentence.  Sentence: From : nogli-news@googlegroups.com [ mailto:nogli-news@googlegroups.com] On Behalf Of [Kevin Gregg] Sent : Wednesday , November 21 , 2007 8:28 AM To : NOGLI news Subject : [ nogli-news ] : great customer service - [Alessi] and Son Citgo Options: A. [Alessi] is the identity/pronoun of [Kevin Gregg] B. [Alessi] and [Kevin Gregg] are the same person C. [Alessi] is the parent of [Kevin Gregg] D. [Alessi] is the spouse of [Kevin Gregg] E. [Alessi] is the siblings of [Kevin Gregg] F. [Alessi] is the other family member of [Kevin Gregg] G. [Alessi] has the parent [Kevin Gregg] H. [Alessi] has no known relations to [Kevin Gregg]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1460,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: [Andrew L. Y. Hsia] , head of the TECO , will provide the funds to [HKI] President Kathy Spahn on behalf of Taiwan 's government during a reception to be held at the TECO office in Manhattan next Wednesday , the spokesman said . Options: A. [HKI] was founded by [Andrew L. Y. Hsia] B. [HKI] has the high level member [Andrew L. Y. Hsia] C. [HKI] has shares hold in [Andrew L. Y. Hsia] D. [HKI] has no known relations to [Andrew L. Y. Hsia]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",no_relation
1461,C,D,"Determine which option can be inferred from the given Sentence.  Sentence: In a case that has dominated headlines and television news coverage for [weeks] in this soccer-obsessed nation , the police said they had concluded their investigation and were charging the goalie , Bruno Fernandes das Dores de Souza , 25 , and eight friends and family members in the slaying of [Eliza Samudio] , 25 , who disappeared in early June . Options: A. [Eliza Samudio] has the age [weeks] B. [Eliza Samudio] has birthday on [weeks] C. [Eliza Samudio] died in the date [weeks] D. [Eliza Samudio] has no known relations to [weeks]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
1462,D,D,Determine which option can be inferred from the given Sentence.  Sentence: He laid down half [his] income and works [three] times the hours that he used to work . Options: A. [his] has the age [three] B. [his] has birthday on [three] C. [his] died in the date [three] D. [his] has no known relations to [three]  Which option can be inferred from the given Sentence? Option:,D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
1463,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: Journalist [Nir Rosen] on How the U.S. Invasion of [Iraq] Has Led to Ethnic Cleansing , a Worsening Refugee Crisis and the Destabilization of the Middle East . Options: A. [Nir Rosen] lives in the country [Iraq] B. [Nir Rosen] has the nationality [Iraq] C. [Nir Rosen] is the employee of [Iraq] D. [Nir Rosen] was born in the country [Iraq] E. [Nir Rosen] died in the country [Iraq] F. [Nir Rosen] lives in the city [Iraq] G. [Nir Rosen] died in the city [Iraq] H. [Nir Rosen] has no known relations to [Iraq]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",no_relation
1464,C,C,Determine which option can be inferred from the given Sentence.  Sentence: [She] said Shelby 's [EPF] supervisor put his finger in her face and yelled at her again for interfering . Options: A. [She] is the employee of [EPF] B. [She] studied in [EPF] C. [She] has no known relations to [EPF]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",no_relation
1465,A,H,"Determine which option can be inferred from the given Sentence.  Sentence: With his perfect [English] and British education ( a photo on the wall of his study shows him as a teenager on the rugby team of Malvern College ) , Rashid became what [he] calls the '' intellectual repository '' for Western journalists who parachuted into the Afghan capital for the Soviet Union 's last big invasion . Options: A. [he] has the nationality [English] B. [he] died in the country [English] C. [he] is the employee of [English] D. [he] lives in the country [English] E. [he] was born in the city [English] F. [he] was born in the country [English] G. [he] was born in the state or province [English] H. [he] has no known relations to [English]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:origin', 'B': 'per:country_of_death', 'C': 'per:employee_of', 'D': 'per:countries_of_residence', 'E': 'per:city_of_birth', 'F': 'per:country_of_birth', 'G': 'per:stateorprovince_of_birth', 'H': 'no_relation'}",no_relation
1466,F,F,"Determine which option can be inferred from the given Sentence.  Sentence: [He] was also a strong opponent of the rebel New Forces movement led by Guillaume Soro , now the country 's [prime minister] , accusing them of treason in their attempted coup against Gbagbo in September 2002 . Options: A. [He] is a [prime minister] B. [He] has the religion [prime minister] C. [He] has the age [prime minister] D. [He] died because of [prime minister] E. [He] is convicted of [prime minister] F. [He] has no known relations to [prime minister]  Which option can be inferred from the given Sentence? Option:",F,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",no_relation
1467,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: The IRS is listed as one of [Piedra] 's creditors , claiming he owes back taxes and interest of $ 277,285 dating to [2005] . Options: A. [Piedra] died in the date [2005] B. [Piedra] has birthday on [2005] C. [Piedra] has the age [2005] D. [Piedra] died because of [2005] E. [Piedra] has no known relations to [2005]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:date_of_death', 'B': 'per:date_of_birth', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'no_relation'}",no_relation
1468,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: They say [Vladimir Ladyzhenskiy] died late Saturday during the Sauna World Championships in southern Finland , while his Finnish rival [Timo Kaukonen] was rushed to a hospital . Options: A. [Vladimir Ladyzhenskiy] is the identity/pronoun of [Timo Kaukonen] B. [Vladimir Ladyzhenskiy] and [Timo Kaukonen] are the same person C. [Vladimir Ladyzhenskiy] is the parent of [Timo Kaukonen] D. [Vladimir Ladyzhenskiy] is the spouse of [Timo Kaukonen] E. [Vladimir Ladyzhenskiy] is the siblings of [Timo Kaukonen] F. [Vladimir Ladyzhenskiy] is the other family member of [Timo Kaukonen] G. [Vladimir Ladyzhenskiy] has the parent [Timo Kaukonen] H. [Vladimir Ladyzhenskiy] has no known relations to [Timo Kaukonen]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1469,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: The Chongqing No. 5 [Intermediate People 's Court] will deliver its verdict on [Wen Qiang] , former director of the Chongqing Municipal Judicial Bureau , after rehearing his case Wednesday morning , according to a statement from the court . Options: A. [Wen Qiang] is the employee of [Intermediate People 's Court] B. [Wen Qiang] studied in [Intermediate People 's Court] C. [Wen Qiang] has no known relations to [Intermediate People 's Court]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",no_relation
1470,C,I,"Determine which option can be inferred from the given Sentence.  Sentence: Arlo Looking Cloud testified against John Graham , saying he watched as [Graham] shot Annie Mae Aquash on [South Dakota] 's Pine Ridge reservation and left her to die . Options: A. [Graham] lives in the state or province [South Dakota] B. [Graham] is the employee of [South Dakota] C. [Graham] was born in the state or province [South Dakota] D. [Graham] died in the state or province [South Dakota] E. [Graham] lives in the city [South Dakota] F. [Graham] died in the city [South Dakota] G. [Graham] was born in the country [South Dakota] H. [Graham] was born in the city [South Dakota] I. [Graham] has no known relations to [South Dakota]  Which option can be inferred from the given Sentence? Option:",I,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:stateorprovince_of_birth', 'D': 'per:stateorprovince_of_death', 'E': 'per:cities_of_residence', 'F': 'per:city_of_death', 'G': 'per:country_of_birth', 'H': 'per:city_of_birth', 'I': 'no_relation'}",no_relation
1471,A,E,"Determine which option can be inferred from the given Sentence.  Sentence: BEIJING , July 19 , 2010 ( AFP ) Zhang Guobao , head of the [National Energy Administration] , said late last year that [China] had 11 nuclear power reactors in operation with a capacity of 91 gigawatts . Options: A. [National Energy Administration] has a branch in the country [China] B. [National Energy Administration] has the member [China] C. [National Energy Administration] has a branch in the state or province [China] D. [National Energy Administration] has a branch in the city [China] E. [National Energy Administration] has no known relations to [China]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:city_of_branch', 'E': 'no_relation'}",no_relation
1472,H,H,Determine which option can be inferred from the given Sentence.  Sentence: Connecticut State 's Attorney [David Cohen] said Monday that there is no evidence that [Sandra Herold] of Stamford was aware of risk that her chimpanzee posed to other people and disregarded it . Options: A. [Sandra Herold] is the identity/pronoun of [David Cohen] B. [Sandra Herold] and [David Cohen] are the same person C. [Sandra Herold] is the parent of [David Cohen] D. [Sandra Herold] is the spouse of [David Cohen] E. [Sandra Herold] is the siblings of [David Cohen] F. [Sandra Herold] is the other family member of [David Cohen] G. [Sandra Herold] has the parent [David Cohen] H. [Sandra Herold] has no known relations to [David Cohen]  Which option can be inferred from the given Sentence? Option:,H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1473,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: A total of 5.56 million tourists visited Tibet in [2009] , up 147 percent from a year earlier , according to the [Pacific Asia Travel Association] . Options: A. [Pacific Asia Travel Association] dissolved in [2009] B. [Pacific Asia Travel Association] was founded in [2009] C. [Pacific Asia Travel Association] has no known relations to [2009]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
1474,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: No more than 15 minutes later , the [21-year-old] 's header , after receiving the ball from [Chen Tao] 's free kick , flew over the bar , and his ground shot in the 36th minute , after receiving Shen Longyuan 's cross from the right wing , was blocked by Botswana defenders . Options: A. [Chen Tao] has the age [21-year-old] B. [Chen Tao] has birthday on [21-year-old] C. [Chen Tao] died in the date [21-year-old] D. [Chen Tao] has no known relations to [21-year-old]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
1475,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: 11:00 , [Government Information Office] Minister Cheng Wen-tsang will hold a news conference in recognition of the success of the [National Taiwan Symphony Orchestra] 's MIDEM Showcase performance . Options: A. [National Taiwan Symphony Orchestra] is also known as [Government Information Office] B. [National Taiwan Symphony Orchestra] has the member [Government Information Office] C. [National Taiwan Symphony Orchestra] is the member of [Government Information Office] D. [National Taiwan Symphony Orchestra] has shares hold in [Government Information Office] E. [National Taiwan Symphony Orchestra] has no known relations to [Government Information Office]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",no_relation
1476,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Readers can reprint and are free to redistribute - as long as full credit is given to [American Free Press] - 645 Pennsylvania Avenue SE , Suite [100] Washington , D.C. 20003 Options: A. [American Free Press] has the number of employees [100] B. [American Free Press] has the website [100] C. [American Free Press] has no known relations to [100]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",no_relation
1477,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: Despite a paralyzing blizzard in Washington , [Obama] brought together Al Sharpton , founder of the National Action Network ; NAACP President Benjamin Jealous ; and Marc Morial , president of the [National Urban League] , for a conversation that lasted nearly an hour . Options: A. [National Urban League] was founded by [Obama] B. [National Urban League] has the high level member [Obama] C. [National Urban League] has shares hold in [Obama] D. [National Urban League] has no known relations to [Obama]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",no_relation
1478,H,H,Determine which option can be inferred from the given Sentence.  Sentence: Former FBI special agent [John Munis] testified about how a pathologist removed Aquash 's hands from [her] corpse in a lab in Washington to analyze them for fingerprints . Options: A. [her] is the identity/pronoun of [John Munis] B. [her] and [John Munis] are the same person C. [her] is the parent of [John Munis] D. [her] is the spouse of [John Munis] E. [her] is the siblings of [John Munis] F. [her] is the other family member of [John Munis] G. [her] has the parent [John Munis] H. [her] has no known relations to [John Munis]  Which option can be inferred from the given Sentence? Option:,H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1479,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: Conversation with [Richard Gage] , AIA , found of Architects & Engineers for 9/11 Truth and excerpts from his remarkable lecture on the demolition of the Twin Towers and WTC Building [7] . Options: A. [Richard Gage] has the age [7] B. [Richard Gage] has birthday on [7] C. [Richard Gage] died in the date [7] D. [Richard Gage] has no known relations to [7]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
1480,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Britain 's [defense ministry] has denied claims made by campaigners seeking information about [Jupp] 's death that the team worked on a program to test whether terrorists could build so called '' dirty bombs , '' which use conventional explosives to scatter radiological material . Options: A. [Jupp] is the employee of [defense ministry] B. [Jupp] studied in [defense ministry] C. [Jupp] has no known relations to [defense ministry]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",no_relation
1481,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: On Tuesday , [CNN] snagged interviews with Sherrod , Breitbart and [Eloise Spooner] , wife of the Georgia farmer whom Sherrod had aided and was the subject of her anecdote . Options: A. [Eloise Spooner] is the employee of [CNN] B. [Eloise Spooner] studied in [CNN] C. [Eloise Spooner] has no known relations to [CNN]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",no_relation
1482,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: The official , speaking on condition of anonymity , told AFP that Shah Abdul Aziz was arrested in [May] over [his] suspected involvement in the killing and was being questioned but had not been charged . Options: A. [his] died in the date [May] B. [his] has birthday on [May] C. [his] has the age [May] D. [his] died because of [May] E. [his] has no known relations to [May]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:date_of_death', 'B': 'per:date_of_birth', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'no_relation'}",no_relation
1483,B,H,"Determine which option can be inferred from the given Sentence.  Sentence: Against this background , [Ouattara] 's new United Nations ambassador Youssoufou Bamba gave a stark warning Wednesday as he received [his] credentials from UN Secretary-General Ban Ki-moon in New York . Options: A. [his] is the identity/pronoun of [Ouattara] B. [his] and [Ouattara] are the same person C. [his] is the parent of [Ouattara] D. [his] is the spouse of [Ouattara] E. [his] is the siblings of [Ouattara] F. [his] is the other family member of [Ouattara] G. [his] has the parent [Ouattara] H. [his] has no known relations to [Ouattara]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1484,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: They finally turned Vagni over to Jolo vice-governor Nur-Ana Sahidulla and [he] was taken to a military hospital for precautionary medical checks before being flow to nearby Zamboanga city , en route to [Manila] . Options: A. [he] is the employee of [Manila] B. [he] died in the city [Manila] C. [he] lives in the city [Manila] D. [he] was born in the city [Manila] E. [he] has the nationality [Manila] F. [he] lives in the state or province [Manila] G. [he] lives in the country [Manila] H. [he] has no known relations to [Manila]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",no_relation
1485,C,C,Determine which option can be inferred from the given Sentence.  Sentence: i dont know why i would scream '' smoking gun '' other than to be sarcastic as i am not a truther ( with [700] posts i think i would have been outed by now ) even though i do give [LIHOP] a 1 % feasibility Options: A. [LIHOP] has the number of employees [700] B. [LIHOP] has the website [700] C. [LIHOP] has no known relations to [700]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",no_relation
1486,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: At [Wednesday] 's session of the [Pacific Asia Travel Association] ( PATA ) meeting in Bali , tourism officials from West Java predicted the number of foreign visitors to the province would double by 2010 . Options: A. [Pacific Asia Travel Association] dissolved in [Wednesday] B. [Pacific Asia Travel Association] was founded in [Wednesday] C. [Pacific Asia Travel Association] has no known relations to [Wednesday]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
1487,B,C,"Determine which option can be inferred from the given Sentence.  Sentence: The [American Association of University Women] , whose [1992] report on how girls are shortchanged in the classroom caused a national debate over gender equity , has turned its attention to debunking the idea of a '' boys ' crisis . '' Options: A. [American Association of University Women] dissolved in [1992] B. [American Association of University Women] was founded in [1992] C. [American Association of University Women] has no known relations to [1992]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
1488,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: One man , [Arlo Looking Cloud] , an Oglala Lakota , and a member of AIM , is serving life in prison for her murder while his accomplice , the man he accused of pulling the trigger , [John] '' Boy '' Graham , a native of the Yukon in Canada , is awaiting extradition to the United States to stand trial . Options: A. [Arlo Looking Cloud] was founded by [John] B. [Arlo Looking Cloud] has the high level member [John] C. [Arlo Looking Cloud] has shares hold in [John] D. [Arlo Looking Cloud] has no known relations to [John]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",no_relation
1489,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: Paul Hodgson , research associate at the [Corporate Library] , a corporate governance research firm , criticized [Bank of America] for agreeing to the terms of Sambol 's exit deal . Options: A. [Corporate Library] is also known as [Bank of America] B. [Corporate Library] has the member [Bank of America] C. [Corporate Library] is the member of [Bank of America] D. [Corporate Library] has shares hold in [Bank of America] E. [Corporate Library] has no known relations to [Bank of America]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",no_relation
1490,B,H,Determine which option can be inferred from the given Sentence.  Sentence: She described a 2002 phone call in which she said Looking Cloud told her that [Graham] and Clark took Aquash from the car and that [he] only heard a gunshot . Options: A. [Graham] is the identity/pronoun of [he] B. [Graham] and [he] are the same person C. [Graham] is the parent of [he] D. [Graham] is the spouse of [he] E. [Graham] is the siblings of [he] F. [Graham] is the other family member of [he] G. [Graham] has the parent [he] H. [Graham] has no known relations to [he]  Which option can be inferred from the given Sentence? Option:,H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1491,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Indonesia Digest congratulates most heartily the hard-working team at Bali Discovery Tours - and most especially John Daniels - for having been selected '' the best travel e-newsletter in the Asia-Pacific , receiving the prestigious [PATA] Gold Award [2007] . Options: A. [PATA] dissolved in [2007] B. [PATA] was founded in [2007] C. [PATA] has no known relations to [2007]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
1492,E,E,Determine which option can be inferred from the given Sentence.  Sentence: [PATA] director John Koldowski said as much as two thirds of all international arrivals in [Asia Pacific] are generated from within the region . Options: A. [PATA] has a branch in the country [Asia Pacific] B. [PATA] has a branch in the state or province [Asia Pacific] C. [PATA] has a branch in the city [Asia Pacific] D. [PATA] has the member [Asia Pacific] E. [PATA] has no known relations to [Asia Pacific]  Which option can be inferred from the given Sentence? Option:,E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:stateorprovince_of_branch', 'C': 'org:city_of_branch', 'D': 'org:members', 'E': 'no_relation'}",no_relation
1493,D,H,Determine which option can be inferred from the given Sentence.  Sentence: Moreira said Thursday that police determined from the evidence that [Bruno] remained with [Samudio] until her death . Options: A. [Samudio] is the identity/pronoun of [Bruno] B. [Samudio] and [Bruno] are the same person C. [Samudio] is the parent of [Bruno] D. [Samudio] is the spouse of [Bruno] E. [Samudio] is the siblings of [Bruno] F. [Samudio] is the other family member of [Bruno] G. [Samudio] has the parent [Bruno] H. [Samudio] has no known relations to [Bruno]  Which option can be inferred from the given Sentence? Option:,H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
1494,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: Because , obviously , it has been years since [Cain] had been on the board ( or an officer ) of the [NRA] . Options: A. [NRA] was founded by [Cain] B. [NRA] has the high level member [Cain] C. [NRA] has shares hold in [Cain] D. [NRA] has no known relations to [Cain]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",no_relation
1495,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Two of [Jupp] 's managers at the Defense , Scientific and Technology Laboratory were charged with [manslaughter] following an inquiry into the blast . Options: A. [Jupp] died because of [manslaughter] B. [Jupp] is convicted of [manslaughter] C. [Jupp] has no known relations to [manslaughter]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",no_relation
1496,C,E,"Determine which option can be inferred from the given Sentence.  Sentence: [YANGON] , Dec. 27 ( Xinhua ) -- Myanmar will hold a horse race in Yangon to commemorate the country 's 63rd Anniversary Independence Day , the Myanmar Equestrian Federation ( [MEF] ) confirmed to Xinhua on Monday . Options: A. [MEF] has a branch in the country [YANGON] B. [MEF] has a branch in the state or province [YANGON] C. [MEF] has a branch in the city [YANGON] D. [MEF] has the member [YANGON] E. [MEF] has no known relations to [YANGON]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:stateorprovince_of_branch', 'C': 'org:city_of_branch', 'D': 'org:members', 'E': 'no_relation'}",no_relation
